timestamp,username,source_ip,auth_result
2025-05-25 09:30:30,jane,192.168.1.20,SUCCESS
2025-05-25 09:47:19,alice,10.10.10.5,SUCCESS
2025-05-25 08:45:32,charlie,10.10.10.5,SUCCESS
2025-05-25 09:27:10,jane,192.168.1.10,FAIL
2025-05-25 09:28:12,bob,172.16.0.1,FAIL
2025-05-25 08:22:36,alice,192.168.1.20,FAIL
2025-05-25 08:04:28,john,192.168.1.10,FAIL
2025-05-25 08:46:27,alice,192.168.1.10,FAIL
2025-05-25 09:59:10,john,203.0.113.5,FAIL
2025-05-25 08:45:32,john,172.16.0.1,FAIL
2025-05-25 09:01:03,charlie,192.168.1.20,FAIL
2025-05-25 08:03:49,bob,203.0.113.5,FAIL
2025-05-25 08:08:36,bob,172.16.0.1,FAIL
2025-05-25 09:45:39,john,192.168.1.10,FAIL
2025-05-25 09:12:53,john,203.0.113.5,FAIL
2025-05-25 09:16:36,alice,203.0.113.5,FAIL
2025-05-25 08:15:16,charlie,172.16.0.1,FAIL
2025-05-25 08:12:57,jane,203.0.113.5,FAIL
2025-05-25 09:47:28,alice,192.168.1.10,FAIL
2025-05-25 09:28:37,jane,10.10.10.5,SUCCESS
2025-05-25 08:39:57,john,10.10.10.5,FAIL
2025-05-25 09:16:37,bob,192.168.1.20,FAIL
2025-05-25 09:09:42,john,192.168.1.10,FAIL
2025-05-25 08:53:17,alice,192.168.1.20,FAIL
2025-05-25 09:28:59,bob,192.168.1.20,SUCCESS
2025-05-25 09:36:19,charlie,203.0.113.5,FAIL
2025-05-25 09:48:24,alice,203.0.113.5,SUCCESS
2025-05-25 08:31:07,john,172.16.0.1,FAIL
2025-05-25 08:40:50,charlie,10.10.10.5,FAIL
2025-05-25 08:52:08,jane,192.168.1.20,FAIL
2025-05-25 08:52:34,bob,192.168.1.10,FAIL
2025-05-25 08:15:21,john,172.16.0.1,FAIL
2025-05-25 09:18:35,charlie,10.10.10.5,FAIL
2025-05-25 08:28:01,jane,172.16.0.1,SUCCESS
2025-05-25 09:20:58,jane,172.16.0.1,FAIL
2025-05-25 08:47:09,john,10.10.10.5,FAIL
2025-05-25 08:49:10,bob,172.16.0.1,SUCCESS
2025-05-25 08:52:49,john,192.168.1.10,FAIL
2025-05-25 08:14:27,bob,203.0.113.5,FAIL
2025-05-25 08:46:03,alice,192.168.1.10,FAIL
2025-05-25 08:00:34,alice,10.10.10.5,SUCCESS
2025-05-25 09:23:22,alice,203.0.113.5,FAIL
2025-05-25 08:21:12,alice,10.10.10.5,FAIL
2025-05-25 08:42:31,alice,192.168.1.20,FAIL
2025-05-25 09:56:48,john,192.168.1.20,SUCCESS
2025-05-25 08:37:03,john,172.16.0.1,SUCCESS
2025-05-25 08:42:03,jane,10.10.10.5,FAIL
2025-05-25 08:11:27,charlie,203.0.113.5,FAIL
2025-05-25 08:05:02,john,172.16.0.1,FAIL
2025-05-25 08:00:13,john,192.168.1.20,FAIL
2025-05-25 09:02:54,alice,10.10.10.5,FAIL
2025-05-25 09:26:04,jane,192.168.1.10,FAIL
2025-05-25 09:19:37,charlie,192.168.1.20,SUCCESS
2025-05-25 08:26:33,bob,10.10.10.5,FAIL
2025-05-25 08:59:34,jane,203.0.113.5,FAIL
2025-05-25 08:29:43,charlie,203.0.113.5,FAIL
2025-05-25 09:22:07,bob,192.168.1.10,FAIL
2025-05-25 08:07:11,charlie,10.10.10.5,FAIL
2025-05-25 08:24:03,jane,192.168.1.20,FAIL
2025-05-25 08:37:46,bob,10.10.10.5,FAIL
2025-05-25 09:44:28,jane,192.168.1.20,FAIL
2025-05-25 09:05:29,bob,192.168.1.10,SUCCESS
2025-05-25 08:11:14,charlie,203.0.113.5,FAIL
2025-05-25 08:43:33,bob,172.16.0.1,FAIL
2025-05-25 08:17:05,jane,10.10.10.5,FAIL
2025-05-25 08:38:33,jane,203.0.113.5,FAIL
2025-05-25 08:06:16,alice,192.168.1.10,FAIL
2025-05-25 08:41:04,charlie,203.0.113.5,FAIL
2025-05-25 08:29:03,john,203.0.113.5,FAIL
2025-05-25 09:33:22,alice,172.16.0.1,SUCCESS
2025-05-25 08:19:18,alice,192.168.1.20,FAIL
2025-05-25 09:18:36,bob,192.168.1.20,FAIL
2025-05-25 08:53:23,john,192.168.1.20,FAIL
2025-05-25 08:08:36,charlie,203.0.113.5,FAIL
2025-05-25 08:03:36,charlie,192.168.1.20,FAIL
2025-05-25 09:50:13,jane,203.0.113.5,FAIL
2025-05-25 09:26:17,jane,10.10.10.5,FAIL
2025-05-25 09:00:01,john,192.168.1.10,SUCCESS
2025-05-25 09:53:16,bob,10.10.10.5,FAIL
2025-05-25 08:05:00,charlie,172.16.0.1,FAIL
2025-05-25 08:46:33,john,203.0.113.5,SUCCESS
2025-05-25 08:48:35,john,192.168.1.20,FAIL
2025-05-25 08:48:46,charlie,203.0.113.5,SUCCESS
2025-05-25 08:09:08,jane,192.168.1.10,SUCCESS
2025-05-25 09:33:13,bob,192.168.1.20,FAIL
2025-05-25 08:50:50,john,203.0.113.5,FAIL
2025-05-25 09:40:34,jane,192.168.1.20,FAIL
2025-05-25 08:19:31,john,192.168.1.20,FAIL
2025-05-25 08:18:55,jane,192.168.1.20,FAIL
2025-05-25 09:39:24,alice,192.168.1.10,FAIL
2025-05-25 08:54:28,bob,172.16.0.1,FAIL
2025-05-25 08:28:57,jane,192.168.1.10,FAIL
2025-05-25 09:05:07,jane,203.0.113.5,FAIL
2025-05-25 08:40:11,john,172.16.0.1,FAIL
2025-05-25 09:37:19,alice,172.16.0.1,FAIL
2025-05-25 08:51:10,jane,192.168.1.20,FAIL
2025-05-25 08:35:23,alice,172.16.0.1,FAIL
2025-05-25 08:09:10,alice,203.0.113.5,FAIL
2025-05-25 09:08:30,john,192.168.1.10,FAIL
2025-05-25 09:26:47,alice,172.16.0.1,FAIL
2025-05-25 09:58:28,jane,172.16.0.1,FAIL
2025-05-25 09:49:07,john,203.0.113.5,FAIL
2025-05-25 08:26:41,alice,203.0.113.5,FAIL
2025-05-25 08:50:29,alice,10.10.10.5,FAIL
2025-05-25 09:39:44,alice,203.0.113.5,FAIL
2025-05-25 08:19:15,alice,192.168.1.10,FAIL
2025-05-25 09:20:23,alice,172.16.0.1,FAIL
2025-05-25 09:23:49,jane,203.0.113.5,FAIL
2025-05-25 09:15:10,bob,10.10.10.5,FAIL
2025-05-25 09:46:45,john,192.168.1.10,FAIL
2025-05-25 08:00:06,jane,192.168.1.10,FAIL
2025-05-25 08:02:33,bob,172.16.0.1,SUCCESS
2025-05-25 09:58:23,bob,192.168.1.10,FAIL
2025-05-25 08:32:40,charlie,192.168.1.10,FAIL
2025-05-25 08:35:38,jane,203.0.113.5,FAIL
2025-05-25 09:48:23,alice,192.168.1.20,FAIL
2025-05-25 09:00:49,jane,192.168.1.20,SUCCESS
2025-05-25 09:49:31,jane,192.168.1.20,SUCCESS
2025-05-25 09:53:52,jane,10.10.10.5,FAIL
2025-05-25 08:09:51,charlie,192.168.1.10,FAIL
2025-05-25 09:38:50,alice,192.168.1.10,FAIL
2025-05-25 09:45:48,jane,172.16.0.1,FAIL
2025-05-25 09:46:33,john,172.16.0.1,FAIL
2025-05-25 08:12:13,alice,192.168.1.20,SUCCESS
2025-05-25 09:27:01,jane,10.10.10.5,FAIL
